epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr
1,1.928139,0.66738,0.86437,1.269086,0.852356,0.971604,9.755e-05
2,1.529502,0.774323,0.928383,1.185185,0.874257,0.978891,9.045e-05
3,1.403273,0.810601,0.944554,1.144026,0.886139,0.981228,7.939e-05
4,1.307857,0.83971,0.95662,1.126172,0.893109,0.981584,6.545e-05
5,1.22692,0.864251,0.965149,1.092779,0.902812,0.98503,5e-05
6,1.159549,0.885426,0.970706,1.085642,0.905624,0.984634,3.455e-05
7,1.10035,0.904713,0.976977,1.06951,0.90998,0.98499,2.061e-05
8,1.056915,0.918917,0.979538,1.061629,0.914178,0.98495,9.55e-06
9,1.022916,0.930469,0.982337,1.05552,0.914891,0.98503,2.45e-06
10,1.008807,0.934917,0.983696,1.050524,0.916554,0.985228,0.0
